09/02/2007,21/02/2007,08/02/2007,13/02/2007,06/02/2007,27/02/2007,08/02/2007,13/02/2007,06/02/2007,28/02/2007
02/09/2007,16/10/2007,24/08/2007,26/09/2007,20/08/2007,16/10/2007,21/08/2007,24/09/2007,21/08/2007,03/12/2007
31/10/2007,26/11/2007,15/10/2007,16/10/2007,04/11/2007,27/11/2007,15/10/2007,18/10/2007,27/11/2008,31/03/2009
21/11/2008,06/12/2008,02/11/2007,22/11/2007,28/11/2008,11/01/2009,04/11/2007,24/11/2007,06/10/2009,17/11/2009
17/12/2008,10/01/2009,15/11/2008,04/02/2009,03/02/2009,04/02/2009,30/11/2008,17/12/2008,10/02/2010,20/02/2010
31/01/2009,12/02/2009,28/02/2009,08/03/2009,11/03/2009,16/03/2009,30/12/2008,24/01/2009,08/03/2010,09/03/2010
22/02/2009,08/03/2009,06/10/2009,17/10/2009,03/10/2009,18/10/2009,08/02/2009,09/02/2009,16/09/2010,20/09/2010
06/10/2009,16/11/2009,11/11/2009,17/11/2009,10/11/2009,16/11/2009,05/10/2010,18/10/2010,22/02/2011,08/03/2011
03/03/2010,04/03/2010,28/11/2009,04/12/2009,15/12/2009,19/12/2009,10/11/2010,17/11/2010,16/08/2011,12/12/2011
16/09/2010,20/09/2010,28/12/2009,18/01/2010,10/02/2010,19/02/2010,11/02/2010,17/02/2010,26/10/2012,03/12/2012
16/02/2011,07/03/2011,02/03/2010,08/03/2010,05/09/2010,16/09/2010,16/09/2010,17/09/2010,24/12/2012,02/01/2013
18/08/2011,07/09/2011,16/09/2010,17/09/2010,12/02/2011,07/03/2011,15/02/2011,25/08/2011,05/03/2013,26/06/2013
23/10/2011,01/11/2011,13/02/2011,06/03/2011,19/08/2011,23/08/2011,24/11/2011,12/12/2011,12/02/2014,09/05/2014
21/11/2011,12/12/2011,14/07/2011,15/07/2011,24/11/2011,16/12/2011,30/10/2012,14/01/2013,,
27/10/2012,14/01/2013,07/08/2011,08/09/2011,01/11/2012,03/12/2012,13/04/2013,03/06/2013,,
04/03/2013,07/03/2013,25/10/2011,29/10/2011,02/01/2013,03/01/2013,18/02/2014,18/03/2014,,
09/04/2013,18/06/2013,21/11/2011,08/12/2011,13/04/2013,15/06/2013,,,,
15/02/2014,09/05/2014,28/10/2012,14/01/2013,15/03/2014,04/06/2014,,,,
,,09/04/2013,18/06/2013,,,,,,
,,19/01/2014,05/06/2014,,,,,,
